"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-02-27T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-02-28T00:00:00.000Z,""1080"",""4"",16,8,0"
"2014-03-01T00:00:00.000Z,""1060"",""4"",16,8,0"
"2014-03-02T00:00:00.000Z,""1000"",""4"",16,8,0"
"2014-03-03T00:00:00.000Z,""982"",""4"",16,8,0"
"2014-03-04T00:00:00.000Z,""980"",""4"",16,8,0"
"2014-03-05T00:00:00.000Z,""946"",""4"",16,8,0"
"2014-03-06T00:00:00.000Z,""931"",""4"",16,8,0"
"2014-03-07T00:00:00.000Z,""925"",""4"",16,8,0"
"2014-03-08T00:00:00.000Z,""867"",""4"",16,8,0"
"2014-03-09T00:00:00.000Z,""797"",""4"",16,8,0"
"2014-03-10T00:00:00.000Z,""797"",""4"",16,8,0"
"2014-03-11T00:00:00.000Z,""798"",""4"",16,8,0"
"2014-03-12T00:00:00.000Z,""799"",""4"",16,8,0"
"2014-03-13T00:00:00.000Z,""800"",""4"",16,8,0"
"2014-03-14T00:00:00.000Z,""801"",""4"",16,8,0"
"2014-03-15T00:00:00.000Z,""786"",""4"",16,8,0"
"2014-03-16T00:00:00.000Z,""749"",""4"",16,8,0"
"2014-03-17T00:00:00.000Z,""746"",""4"",16,8,0"
"2014-03-18T00:00:00.000Z,""760"",""4"",16,8,0"
"2014-03-19T00:00:00.000Z,""787"",""4"",16,8,0"
"2014-03-20T00:00:00.000Z,""777"",""4"",16,8,0"
"2014-03-21T00:00:00.000Z,""801"",""4"",16,8,0"
"2014-03-22T00:00:00.000Z,""836"",""4"",16,8,0"
"2014-03-23T00:00:00.000Z,""940"",""4"",16,8,0"
"2014-03-24T00:00:00.000Z,""988"",""4"",16,8,0"
"2014-03-25T00:00:00.000Z,""1000"",""4"",16,8,0"
"2014-03-26T00:00:00.000Z,""974"",""4"",16,8,0"
"2014-03-27T00:00:00.000Z,""925"",""4"",16,8,0"
"2014-03-28T00:00:00.000Z,""887"",""4"",16,8,0"
"2014-03-29T00:00:00.000Z,""889"",""4"",16,8,0"
"2014-03-30T00:00:00.000Z,""830"",""4"",16,8,0"
"2014-03-31T00:00:00.000Z,""809"",""4"",16,8,0"
"2014-04-01T00:00:00.000Z,""803"",""4"",16,8,0"
"2014-04-02T00:00:00.000Z,""796"",""4"",16,8,0"
"2014-04-03T00:00:00.000Z,""789"",""4"",16,8,0"
"2014-04-04T00:00:00.000Z,""783"",""4"",16,8,0"
"2014-04-05T00:00:00.000Z,""776"",""4"",16,8,0"
"2014-04-06T00:00:00.000Z,""786"",""4"",16,8,0"
"2014-04-07T00:00:00.000Z,""782"",""4"",16,8,0"
