Date;Level [m] a.s.l;Change in height [m];Delta V [m^3];hydro_year;start_volume
1-10-2000;486,04;;;2001;1,71E+11
2-10-2000;486,03;-0,01;-55000000;2002;1,71E+11
3-10-2000;485,99;-0,04;-220000000;2003;1,61E+11
4-10-2000;485,99;0;0;2004;3,23E+12
5-10-2000;485,97;-0,02;-110000000;2005;1,65E+11
6-10-2000;485,96;-0,01;-55000000;2006;1,43E+11
7-10-2000;485,94;-0,02;-110000000;2007;1,40E+11
8-10-2000;485,92;-0,02;-110000000;2008;1,43E+11
9-10-2000;485,91;-0,01;-55000000;2009;1,58E+11
10-10-2000;485,9;-0,01;-55000000;2010;1,68E+11
11-10-2000;485,89;-0,01;-55000000;2011;1,70E+11
12-10-2000;485,87;-0,02;-110000000;2012;1,71E+11
13-10-2000;485,86;-0,01;-55000000;2013;1,67E+11
14-10-2000;485,85;-0,01;-55000000;;
15-10-2000;485,83;-0,02;-110000000;;
16-10-2000;485,82;-0,01;-55000000;;
17-10-2000;485,81;-0,01;-55000000;;
18-10-2000;485,8;-0,01;-55000000;;
19-10-2000;485,87;0,07;385000000;;
20-10-2000;485,75;-0,12;-660000000;;
21-10-2000;485,73;-0,02;-110000000;;
22-10-2000;485,71;-0,02;-110000000;;
23-10-2000;485,7;-0,01;-55000000;;
24-10-2000;485,68;-0,02;-110000000;;
25-10-2000;485,68;0;0;;
26-10-2000;485,67;-0,01;-55000000;;
27-10-2000;485,66;-0,01;-55000000;;
28-10-2000;485,64;-0,02;-110000000;;
29-10-2000;485,63;-0,01;-55000000;;
30-10-2000;485,61;-0,02;-110000000;;
31-10-2000;485,59;-0,02;-110000000;;
1-11-2000;485,56;-0,03;-165000000;;
2-11-2000;485,56;0;0;;
3-11-2000;485,56;0;0;;
4-11-2000;485,55;-0,01;-55000000;;
5-11-2000;485,54;-0,01;-55000000;;
6-11-2000;485,53;-0,01;-55000000;;
7-11-2000;485,51;-0,02;-110000000;;
8-11-2000;485,47;-0,04;-220000000;;
9-11-2000;485,46;-0,01;-55000000;;
10-11-2000;485,45;-0,01;-55000000;;
11-11-2000;485,44;-0,01;-55000000;;
12-11-2000;485,43;-0,01;-55000000;;
13-11-2000;485,42;-0,01;-55000000;;
14-11-2000;485,41;-0,01;-55000000;;
15-11-2000;485,4;-0,01;-55000000;;
16-11-2000;485,39;-0,01;-55000000;;
17-11-2000;485,37;-0,02;-110000000;;
18-11-2000;485,36;-0,01;-55000000;;
19-11-2000;485,35;-0,01;-55000000;;
20-11-2000;485,34;-0,01;-55000000;;
21-11-2000;485,33;-0,01;-55000000;;
22-11-2000;485,32;-0,01;-55000000;;
23-11-2000;485,3;-0,02;-110000000;;
24-11-2000;485,28;-0,02;-110000000;;
25-11-2000;485,27;-0,01;-55000000;;
26-11-2000;485,25;-0,02;-110000000;;
27-11-2000;485,24;-0,01;-55000000;;
28-11-2000;485,23;-0,01;-55000000;;
29-11-2000;485,21;-0,02;-110000000;;
30-11-2000;485,19;-0,02;-110000000;;
1-12-2000;485,18;-0,01;-55000000;;
2-12-2000;485,17;-0,01;-55000000;;
3-12-2000;485,17;0;0;;
4-12-2000;485,16;-0,01;-55000000;;
5-12-2000;485,16;0;0;;
6-12-2000;485,15;-0,01;-55000000;;
7-12-2000;485,14;-0,01;-55000000;;
8-12-2000;485,14;0;0;;
9-12-2000;485,13;-0,01;-55000000;;
10-12-2000;485,13;0;0;;
11-12-2000;485,12;-0,01;-55000000;;
12-12-2000;485,12;0;0;;
13-12-2000;485,11;-0,01;-55000000;;
14-12-2000;485,12;0,01;55000000;;
15-12-2000;485,13;0,01;55000000;;
16-12-2000;485,14;0,01;55000000;;
17-12-2000;485,15;0,01;55000000;;
18-12-2000;485,17;0,02;110000000;;
19-12-2000;485,18;0,01;55000000;;
20-12-2000;485,19;0,01;55000000;;
21-12-2000;485,19;0;0;;
22-12-2000;485,19;0;0;;
23-12-2000;485,18;-0,01;-55000000;;
24-12-2000;485,19;0,01;55000000;;
25-12-2000;485,2;0,01;55000000;;
26-12-2000;485,2;0;0;;
27-12-2000;485,19;-0,01;-55000000;;
28-12-2000;485,18;-0,01;-55000000;;
29-12-2000;485,16;-0,02;-110000000;;
30-12-2000;485,16;0;0;;
31-12-2000;485,14;-0,02;-110000000;;
1-1-2001;485,11;-0,03;-165000000;;
2-1-2001;485,09;-0,02;-110000000;;
3-1-2001;485,06;-0,03;-165000000;;
4-1-2001;485,04;-0,02;-110000000;;
5-1-2001;485,03;-0,01;-55000000;;
6-1-2001;485,02;-0,01;-55000000;;
7-1-2001;485,01;-0,01;-55000000;;
8-1-2001;485;-0,01;-55000000;;
9-1-2001;484,98;-0,02;-110000000;;
10-1-2001;484,96;-0,02;-110000000;;
11-1-2001;484,93;-0,03;-165000000;;
12-1-2001;484,9;-0,03;-165000000;;
13-1-2001;484,86;-0,04;-220000000;;
14-1-2001;484,82;-0,04;-220000000;;
15-1-2001;484,76;-0,06;-330000000;;
16-1-2001;484,75;-0,01;-55000000;;
17-1-2001;484,73;-0,02;-110000000;;
18-1-2001;484,71;-0,02;-110000000;;
19-1-2001;484,71;0;0;;
20-1-2001;484,68;-0,03;-165000000;;
21-1-2001;484,66;-0,02;-110000000;;
22-1-2001;484,63;-0,03;-165000000;;
23-1-2001;484,61;-0,02;-110000000;;
24-1-2001;484,58;-0,03;-165000000;;
25-1-2001;484,55;-0,03;-165000000;;
26-1-2001;484,51;-0,04;-220000000;;
27-1-2001;484,49;-0,02;-110000000;;
28-1-2001;484,46;-0,03;-165000000;;
29-1-2001;484,43;-0,03;-165000000;;
30-1-2001;484,4;-0,03;-165000000;;
31-1-2001;484,39;-0,01;-55000000;;
1-2-2001;484,38;-0,01;-55000000;;
2-2-2001;484,38;0;0;;
3-2-2001;484,38;0;0;;
4-2-2001;484,38;0;0;;
5-2-2001;484,41;0,03;165000000;;
6-2-2001;484,46;0,05;275000000;;
7-2-2001;484,47;0,01;55000000;;
8-2-2001;484,56;0,09;495000000;;
9-2-2001;484,58;0,02;110000000;;
10-2-2001;484,63;0,05;275000000;;
11-2-2001;484,69;0,06;330000000;;
12-2-2001;484,71;0,02;110000000;;
13-2-2001;484,79;0,08;440000000;;
14-2-2001;484,8;0,01;55000000;;
15-2-2001;484,81;0,01;55000000;;
16-2-2001;484,81;0;0;;
17-2-2001;484,77;-0,04;-220000000;;
18-2-2001;484,77;0;0;;
19-2-2001;484,75;-0,02;-110000000;;
20-2-2001;484,76;0,01;55000000;;
21-2-2001;484,78;0,02;110000000;;
22-2-2001;484,79;0,01;55000000;;
23-2-2001;484,8;0,01;55000000;;
24-2-2001;484,79;-0,01;-55000000;;
25-2-2001;484,77;-0,02;-110000000;;
26-2-2001;484,77;0;0;;
27-2-2001;484,78;0,01;55000000;;
28-2-2001;484,81;0,03;165000000;;
1-3-2001;484,9;0,09;495000000;;
2-3-2001;485;0,1;550000000;;
3-3-2001;485,12;0,12;660000000;;
4-3-2001;485,21;0,09;495000000;;
5-3-2001;485,26;0,05;275000000;;
6-3-2001;485,31;0,05;275000000;;
7-3-2001;485,31;0;0;;
8-3-2001;485,31;0;0;;
9-3-2001;485,33;0,02;110000000;;
10-3-2001;485,36;0,03;165000000;;
11-3-2001;485,37;0,01;55000000;;
12-3-2001;485,35;-0,02;-110000000;;
13-3-2001;485,32;-0,03;-165000000;;
14-3-2001;485,34;0,02;110000000;;
15-3-2001;485,37;0,03;165000000;;
16-3-2001;485,39;0,02;110000000;;
17-3-2001;485,42;0,03;165000000;;
18-3-2001;485,44;0,02;110000000;;
19-3-2001;485,46;0,02;110000000;;
20-3-2001;485,49;0,03;165000000;;
21-3-2001;485,53;0,04;220000000;;
22-3-2001;485,58;0,05;275000000;;
23-3-2001;485,61;0,03;165000000;;
24-3-2001;485,63;0,02;110000000;;
25-3-2001;485,64;0,01;55000000;;
26-3-2001;485,67;0,03;165000000;;
27-3-2001;485,7;0,03;165000000;;
28-3-2001;485,72;0,02;110000000;;
29-3-2001;485,71;-0,01;-55000000;;
30-3-2001;485,69;-0,02;-110000000;;
31-3-2001;485,69;0;0;;
1-4-2001;485,7;0,01;55000000;;
2-4-2001;485,7;0;0;;
3-4-2001;485,7;0;0;;
4-4-2001;485,69;-0,01;-55000000;;
5-4-2001;485,69;0;0;;
6-4-2001;485,69;0;0;;
7-4-2001;485,7;0,01;55000000;;
8-4-2001;485,68;-0,02;-110000000;;
9-4-2001;485,66;-0,02;-110000000;;
10-4-2001;485,63;-0,03;-165000000;;
11-4-2001;485,62;-0,01;-55000000;;
12-4-2001;485,61;-0,01;-55000000;;
13-4-2001;485,62;0,01;55000000;;
14-4-2001;485,64;0,02;110000000;;
15-4-2001;485,65;0,01;55000000;;
16-4-2001;485,64;-0,01;-55000000;;
17-4-2001;485,64;0;0;;
18-4-2001;485,66;0,02;110000000;;
19-4-2001;485,68;0,02;110000000;;
20-4-2001;485,68;0;0;;
21-4-2001;485,7;0,02;110000000;;
22-4-2001;485,71;0,01;55000000;;
23-4-2001;485,71;0;0;;
24-4-2001;485,72;0,01;55000000;;
25-4-2001;485,73;0,01;55000000;;
26-4-2001;485,74;0,01;55000000;;
27-4-2001;485,74;0;0;;
28-4-2001;485,75;0,01;55000000;;
29-4-2001;485,76;0,01;55000000;;
30-4-2001;485,77;0,01;55000000;;
1-5-2001;485,78;0,01;55000000;;
2-5-2001;485,79;0,01;55000000;;
3-5-2001;485,8;0,01;55000000;;
4-5-2001;485,86;0,06;330000000;;
5-5-2001;485,93;0,07;385000000;;
6-5-2001;486;0,07;385000000;;
7-5-2001;486,05;0,05;275000000;;
8-5-2001;486,06;0,01;55000000;;
9-5-2001;486,05;-0,01;-55000000;;
10-5-2001;486,06;0,01;55000000;;
11-5-2001;486,08;0,02;110000000;;
12-5-2001;486,11;0,03;165000000;;
13-5-2001;486,15;0,04;220000000;;
14-5-2001;486,18;0,03;165000000;;
15-5-2001;486,22;0,04;220000000;;
16-5-2001;486,24;0,02;110000000;;
17-5-2001;486,28;0,04;220000000;;
18-5-2001;486,32;0,04;220000000;;
19-5-2001;486,34;0,02;110000000;;
20-5-2001;486,37;0,03;165000000;;
21-5-2001;486,41;0,04;220000000;;
22-5-2001;486,43;0,02;110000000;;
23-5-2001;486,45;0,02;110000000;;
24-5-2001;486,47;0,02;110000000;;
25-5-2001;486,49;0,02;110000000;;
26-5-2001;486,51;0,02;110000000;;
27-5-2001;486,53;0,02;110000000;;
28-5-2001;486,54;0,01;55000000;;
29-5-2001;486,56;0,02;110000000;;
30-5-2001;486,58;0,02;110000000;;
31-5-2001;486,6;0,02;110000000;;
1-6-2001;486,61;0,01;55000000;;
2-6-2001;486,63;0,02;110000000;;
3-6-2001;486,65;0,02;110000000;;
4-6-2001;486,66;0,01;55000000;;
5-6-2001;486,68;0,02;110000000;;
6-6-2001;486,68;0;0;;
7-6-2001;486,68;0;0;;
8-6-2001;486,66;-0,02;-110000000;;
9-6-2001;486,68;0,02;110000000;;
10-6-2001;486,66;-0,02;-110000000;;
11-6-2001;486,64;-0,02;-110000000;;
12-6-2001;486,63;-0,01;-55000000;;
13-6-2001;486,62;-0,01;-55000000;;
14-6-2001;486,61;-0,01;-55000000;;
15-6-2001;486,61;0;0;;
16-6-2001;486,61;0;0;;
17-6-2001;486,6;-0,01;-55000000;;
18-6-2001;486,6;0;0;;
19-6-2001;486,59;-0,01;-55000000;;
20-6-2001;486,59;0;0;;
21-6-2001;486,58;-0,01;-55000000;;
22-6-2001;486,58;0;0;;
23-6-2001;486,6;0,02;110000000;;
24-6-2001;486,58;-0,02;-110000000;;
25-6-2001;486,58;0;0;;
26-6-2001;486,58;0;0;;
27-6-2001;486,58;0;0;;
28-6-2001;486,61;0,03;165000000;;
29-6-2001;486,63;0,02;110000000;;
30-6-2001;486,65;0,02;110000000;;
1-7-2001;486,67;0,02;110000000;;
2-7-2001;486,68;0,01;55000000;;
3-7-2001;486,69;0,01;55000000;;
4-7-2001;486,69;0;0;;
5-7-2001;486,68;-0,01;-55000000;;
6-7-2001;486,68;0;0;;
7-7-2001;486,68;0;0;;
8-7-2001;486,67;-0,01;-55000000;;
9-7-2001;486,66;-0,01;-55000000;;
10-7-2001;486,66;0;0;;
11-7-2001;486,66;0;0;;
12-7-2001;486,67;0,01;55000000;;
13-7-2001;486,67;0;0;;
14-7-2001;486,67;0;0;;
15-7-2001;486,66;-0,01;-55000000;;
16-7-2001;486,66;0;0;;
17-7-2001;486,67;0,01;55000000;;
18-7-2001;486,67;0;0;;
19-7-2001;486,67;0;0;;
20-7-2001;486,67;0;0;;
21-7-2001;486,68;0,01;55000000;;
22-7-2001;486,68;0;0;;
23-7-2001;486,67;-0,01;-55000000;;
24-7-2001;486,66;-0,01;-55000000;;
25-7-2001;486,65;-0,01;-55000000;;
26-7-2001;486,63;-0,02;-110000000;;
27-7-2001;486,63;0;0;;
28-7-2001;486,61;-0,02;-110000000;;
29-7-2001;486,59;-0,02;-110000000;;
30-7-2001;486,58;-0,01;-55000000;;
31-7-2001;486,58;0;0;;
1-8-2001;486,56;-0,02;-110000000;;
2-8-2001;486,55;-0,01;-55000000;;
3-8-2001;486,55;0;0;;
4-8-2001;486,54;-0,01;-55000000;;
5-8-2001;486,53;-0,01;-55000000;;
6-8-2001;486,52;-0,01;-55000000;;
7-8-2001;486,51;-0,01;-55000000;;
8-8-2001;486,5;-0,01;-55000000;;
9-8-2001;486,48;-0,02;-110000000;;
10-8-2001;486,49;0,01;55000000;;
11-8-2001;486,47;-0,02;-110000000;;
12-8-2001;486,46;-0,01;-55000000;;
13-8-2001;486,45;-0,01;-55000000;;
14-8-2001;486,44;-0,01;-55000000;;
15-8-2001;486,43;-0,01;-55000000;;
16-8-2001;486,42;-0,01;-55000000;;
17-8-2001;486,42;0;0;;
18-8-2001;486,42;0;0;;
19-8-2001;486,41;-0,01;-55000000;;
20-8-2001;486,4;-0,01;-55000000;;
21-8-2001;486,38;-0,02;-110000000;;
22-8-2001;486,38;0;0;;
23-8-2001;486,38;0;0;;
24-8-2001;486,37;-0,01;-55000000;;
25-8-2001;486,36;-0,01;-55000000;;
26-8-2001;486,35;-0,01;-55000000;;
27-8-2001;486,35;0;0;;
28-8-2001;486,34;-0,01;-55000000;;
29-8-2001;486,33;-0,01;-55000000;;
30-8-2001;486,31;-0,02;-110000000;;
31-8-2001;486,29;-0,02;-110000000;;
1-9-2001;486,29;0;0;;
2-9-2001;486,29;0;0;;
3-9-2001;486,28;-0,01;-55000000;;
4-9-2001;486,26;-0,02;-110000000;;
5-9-2001;486,26;0;0;;
6-9-2001;486,23;-0,03;-165000000;;
7-9-2001;486,23;0;0;;
8-9-2001;486,19;-0,04;-220000000;;
9-9-2001;486,18;-0,01;-55000000;;
10-9-2001;486,18;0;0;;
11-9-2001;486,16;-0,02;-110000000;;
12-9-2001;486,15;-0,01;-55000000;;
13-9-2001;486,14;-0,01;-55000000;;
14-9-2001;486,14;0;0;;
15-9-2001;486,12;-0,02;-110000000;;
16-9-2001;486,11;-0,01;-55000000;;
17-9-2001;486,1;-0,01;-55000000;;
18-9-2001;486,07;-0,03;-165000000;;
19-9-2001;486,04;-0,03;-165000000;;
20-9-2001;486,02;-0,02;-110000000;;
21-9-2001;485,98;-0,04;-220000000;;
22-9-2001;485,97;-0,01;-55000000;;
23-9-2001;485,97;0;0;;
24-9-2001;485,97;0;0;;
25-9-2001;485,97;0;0;;
26-9-2001;485,99;0,02;110000000;;
27-9-2001;485,98;-0,01;-55000000;;
28-9-2001;485,96;-0,02;-110000000;;
29-9-2001;485,93;-0,03;-165000000;;
30-9-2001;485,93;0;0;;
1-10-2001;485,93;0;0;;
2-10-2001;485,93;0;0;;
3-10-2001;485,92;-0,01;-55000000;;
4-10-2001;485,9;-0,02;-110000000;;
5-10-2001;485,88;-0,02;-110000000;;
6-10-2001;485,87;-0,01;-55000000;;
7-10-2001;485,87;0;0;;
8-10-2001;485,86;-0,01;-55000000;;
9-10-2001;485,85;-0,01;-55000000;;
10-10-2001;485,84;-0,01;-55000000;;
11-10-2001;485,82;-0,02;-110000000;;
12-10-2001;485,81;-0,01;-55000000;;
13-10-2001;485,8;-0,01;-55000000;;
14-10-2001;485,78;-0,02;-110000000;;
15-10-2001;485,76;-0,02;-110000000;;
16-10-2001;485,76;0;0;;
17-10-2001;485,75;-0,01;-55000000;;
18-10-2001;485,73;-0,02;-110000000;;
19-10-2001;485,72;-0,01;-55000000;;
20-10-2001;485,71;-0,01;-55000000;;
21-10-2001;485,7;-0,01;-55000000;;
22-10-2001;485,68;-0,02;-110000000;;
23-10-2001;485,68;0;0;;
24-10-2001;485,65;-0,03;-165000000;;
25-10-2001;485,65;0;0;;
26-10-2001;485,62;-0,03;-165000000;;
27-10-2001;485,61;-0,01;-55000000;;
28-10-2001;485,6;-0,01;-55000000;;
29-10-2001;485,59;-0,01;-55000000;;
30-10-2001;485,58;-0,01;-55000000;;
31-10-2001;485,57;-0,01;-55000000;;
1-11-2001;485,55;-0,02;-110000000;;
2-11-2001;485,55;0;0;;
3-11-2001;485,54;-0,01;-55000000;;
4-11-2001;485,52;-0,02;-110000000;;
5-11-2001;485,52;0;0;;
6-11-2001;485,5;-0,02;-110000000;;
7-11-2001;485,49;-0,01;-55000000;;
8-11-2001;485,48;-0,01;-55000000;;
9-11-2001;485,46;-0,02;-110000000;;
10-11-2001;485,45;-0,01;-55000000;;
11-11-2001;485,45;0;0;;
12-11-2001;485,44;-0,01;-55000000;;
13-11-2001;485,44;0;0;;
14-11-2001;485,42;-0,02;-110000000;;
15-11-2001;485,42;0;0;;
16-11-2001;485,41;-0,01;-55000000;;
17-11-2001;485,41;0;0;;
18-11-2001;485,38;-0,03;-165000000;;
19-11-2001;485,38;0;0;;
20-11-2001;485,37;-0,01;-55000000;;
21-11-2001;485,37;0;0;;
22-11-2001;485,37;0;0;;
23-11-2001;485,36;-0,01;-55000000;;
24-11-2001;485,36;0;0;;
25-11-2001;485,36;0;0;;
26-11-2001;485,35;-0,01;-55000000;;
27-11-2001;485,35;0;0;;
28-11-2001;485,35;0;0;;
29-11-2001;485,35;0;0;;
30-11-2001;485,33;-0,02;-110000000;;
1-12-2001;485,32;-0,01;-55000000;;
2-12-2001;485,31;-0,01;-55000000;;
3-12-2001;485,3;-0,01;-55000000;;
4-12-2001;485,27;-0,03;-165000000;;
5-12-2001;485,26;-0,01;-55000000;;
6-12-2001;485,26;0;0;;
7-12-2001;485,26;0;0;;
8-12-2001;485,25;-0,01;-55000000;;
9-12-2001;485,24;-0,01;-55000000;;
10-12-2001;485,24;0;0;;
11-12-2001;485,11;-0,13;-715000000;;
12-12-2001;485,23;0,12;660000000;;
13-12-2001;485,23;0;0;;
14-12-2001;485,24;0,01;55000000;;
15-12-2001;485,25;0,01;55000000;;
16-12-2001;485,26;0,01;55000000;;
17-12-2001;485,26;0;0;;
18-12-2001;485,25;-0,01;-55000000;;
19-12-2001;485,21;-0,04;-220000000;;
20-12-2001;485,2;-0,01;-55000000;;
21-12-2001;485,18;-0,02;-110000000;;
22-12-2001;485,17;-0,01;-55000000;;
23-12-2001;485,14;-0,03;-165000000;;
24-12-2001;485,11;-0,03;-165000000;;
25-12-2001;485,09;-0,02;-110000000;;
26-12-2001;485,07;-0,02;-110000000;;
27-12-2001;485,04;-0,03;-165000000;;
28-12-2001;485;-0,04;-220000000;;
29-12-2001;484,98;-0,02;-110000000;;
30-12-2001;484,96;-0,02;-110000000;;
31-12-2001;484,94;-0,02;-110000000;;
1-1-2002;484,92;-0,02;-110000000;;
2-1-2002;484,88;-0,04;-220000000;;
3-1-2002;484,85;-0,03;-165000000;;
4-1-2002;484,82;-0,03;-165000000;;
5-1-2002;484,78;-0,04;-220000000;;
6-1-2002;484,74;-0,04;-220000000;;
7-1-2002;484,7;-0,04;-220000000;;
8-1-2002;484,68;-0,02;-110000000;;
9-1-2002;484,67;-0,01;-55000000;;
10-1-2002;484,65;-0,02;-110000000;;
11-1-2002;484,62;-0,03;-165000000;;
12-1-2002;484,6;-0,02;-110000000;;
13-1-2002;484,58;-0,02;-110000000;;
14-1-2002;484,57;-0,01;-55000000;;
15-1-2002;484,56;-0,01;-55000000;;
16-1-2002;484,54;-0,02;-110000000;;
17-1-2002;484,51;-0,03;-165000000;;
18-1-2002;484,48;-0,03;-165000000;;
19-1-2002;484,45;-0,03;-165000000;;
20-1-2002;484,42;-0,03;-165000000;;
21-1-2002;484,39;-0,03;-165000000;;
22-1-2002;484,37;-0,02;-110000000;;
23-1-2002;484,36;-0,01;-55000000;;
24-1-2002;484,35;-0,01;-55000000;;
25-1-2002;484,29;-0,06;-330000000;;
26-1-2002;484,28;-0,01;-55000000;;
27-1-2002;484,27;-0,01;-55000000;;
28-1-2002;484,27;0;0;;
29-1-2002;484,26;-0,01;-55000000;;
30-1-2002;484,24;-0,02;-110000000;;
31-1-2002;484,24;0;0;;
1-2-2002;484,2;-0,04;-220000000;;
2-2-2002;484,19;-0,01;-55000000;;
3-2-2002;484,17;-0,02;-110000000;;
4-2-2002;484,14;-0,03;-165000000;;
5-2-2002;484,11;-0,03;-165000000;;
6-2-2002;484,08;-0,03;-165000000;;
7-2-2002;484,06;-0,02;-110000000;;
8-2-2002;484,03;-0,03;-165000000;;
9-2-2002;484,05;0,02;110000000;;
10-2-2002;484,06;0,01;55000000;;
11-2-2002;484,05;-0,01;-55000000;;
12-2-2002;484,06;0,01;55000000;;
13-2-2002;484,04;-0,02;-110000000;;
14-2-2002;484,03;-0,01;-55000000;;
15-2-2002;484;-0,03;-165000000;;
16-2-2002;484;0;0;;
17-2-2002;483,98;-0,02;-110000000;;
18-2-2002;483,98;0;0;;
19-2-2002;484;0,02;110000000;;
20-2-2002;484;0;0;;
21-2-2002;484;0;0;;
22-2-2002;483,98;-0,02;-110000000;;
23-2-2002;483,98;0;0;;
24-2-2002;483,99;0,01;55000000;;
25-2-2002;483,96;-0,03;-165000000;;
26-2-2002;483,96;0;0;;
27-2-2002;483,95;-0,01;-55000000;;
28-2-2002;483,94;-0,01;-55000000;;
1-3-2002;483,94;0;0;;
2-3-2002;483,95;0,01;55000000;;
3-3-2002;483,95;0;0;;
4-3-2002;483,94;-0,01;-55000000;;
5-3-2002;483,94;0;0;;
6-3-2002;483,94;0;0;;
7-3-2002;483,94;0;0;;
8-3-2002;483,95;0,01;55000000;;
9-3-2002;483,95;0;0;;
10-3-2002;483,96;0,01;55000000;;
11-3-2002;483,95;-0,01;-55000000;;
12-3-2002;483,95;0;0;;
13-3-2002;483,95;0;0;;
14-3-2002;483,94;-0,01;-55000000;;
15-3-2002;483,93;-0,01;-55000000;;
16-3-2002;483,93;0;0;;
17-3-2002;483,94;0,01;55000000;;
18-3-2002;483,94;0;0;;
19-3-2002;483,93;-0,01;-55000000;;
20-3-2002;483,93;0;0;;
21-3-2002;483,91;-0,02;-110000000;;
22-3-2002;483,91;0;0;;
23-3-2002;483,92;0,01;55000000;;
24-3-2002;483,93;0,01;55000000;;
25-3-2002;483,93;0;0;;
26-3-2002;483,92;-0,01;-55000000;;
27-3-2002;483,92;0;0;;
28-3-2002;483,93;0,01;55000000;;
29-3-2002;483,94;0,01;55000000;;
30-3-2002;483,94;0;0;;
31-3-2002;483,94;0;0;;
1-4-2002;483,93;-0,01;-55000000;;
2-4-2002;483,94;0,01;55000000;;
3-4-2002;483,94;0;0;;
4-4-2002;483,94;0;0;;
5-4-2002;483,95;0,01;55000000;;
6-4-2002;483,96;0,01;55000000;;
7-4-2002;483,98;0,02;110000000;;
8-4-2002;484;0,02;110000000;;
9-4-2002;484;0;0;;
10-4-2002;484,01;0,01;55000000;;
11-4-2002;484,03;0,02;110000000;;
12-4-2002;484,12;0,09;495000000;;
13-4-2002;484,13;0,01;55000000;;
14-4-2002;484,18;0,05;275000000;;
15-4-2002;484,18;0;0;;
16-4-2002;484,23;0,05;275000000;;
17-4-2002;484,28;0,05;275000000;;
18-4-2002;484,3;0,02;110000000;;
19-4-2002;484,33;0,03;165000000;;
20-4-2002;484,34;0,01;55000000;;
21-4-2002;484,34;0;0;;
22-4-2002;484,36;0,02;110000000;;
23-4-2002;484,36;0;0;;
24-4-2002;484,38;0,02;110000000;;
25-4-2002;484,4;0,02;110000000;;
26-4-2002;484,41;0,01;55000000;;
27-4-2002;484,42;0,01;55000000;;
28-4-2002;484,41;-0,01;-55000000;;
29-4-2002;484,43;0,02;110000000;;
30-4-2002;484,44;0,01;55000000;;
1-5-2002;484,45;0,01;55000000;;
2-5-2002;484,46;0,01;55000000;;
3-5-2002;484,47;0,01;55000000;;
4-5-2002;484,48;0,01;55000000;;
5-5-2002;484,48;0;0;;
6-5-2002;484,5;0,02;110000000;;
7-5-2002;484,51;0,01;55000000;;
8-5-2002;484,54;0,03;165000000;;
9-5-2002;484,55;0,01;55000000;;
10-5-2002;484,56;0,01;55000000;;
11-5-2002;484,56;0;0;;
12-5-2002;484,56;0;0;;
13-5-2002;484,58;0,02;110000000;;
14-5-2002;484,6;0,02;110000000;;
15-5-2002;484,6;0;0;;
16-5-2002;484,6;0;0;;
17-5-2002;484,6;0;0;;
18-5-2002;484,6;0;0;;
19-5-2002;484,6;0;0;;
20-5-2002;484,63;0,03;165000000;;
21-5-2002;484,66;0,03;165000000;;
22-5-2002;484,67;0,01;55000000;;
23-5-2002;484,68;0,01;55000000;;
24-5-2002;484,7;0,02;110000000;;
25-5-2002;484,73;0,03;165000000;;
26-5-2002;484,75;0,02;110000000;;
27-5-2002;484,75;0;0;;
28-5-2002;484,75;0;0;;
29-5-2002;484,76;0,01;55000000;;
30-5-2002;484,76;0;0;;
31-5-2002;484,78;0,02;110000000;;
1-6-2002;484,78;0;0;;
2-6-2002;484,84;0,06;330000000;;
3-6-2002;484,86;0,02;110000000;;
4-6-2002;484,84;-0,02;-110000000;;
5-6-2002;484,86;0,02;110000000;;
6-6-2002;484,87;0,01;55000000;;
7-6-2002;484,87;0;0;;
8-6-2002;484,88;0,01;55000000;;
9-6-2002;484,9;0,02;110000000;;
10-6-2002;484,91;0,01;55000000;;
11-6-2002;484,91;0;0;;
12-6-2002;484,91;0;0;;
13-6-2002;484,9;-0,01;-55000000;;
14-6-2002;484,9;0;0;;
15-6-2002;484,9;0;0;;
16-6-2002;484,91;0,01;55000000;;
17-6-2002;484,94;0,03;165000000;;
18-6-2002;484,95;0,01;55000000;;
19-6-2002;484,97;0,02;110000000;;
20-6-2002;484,98;0,01;55000000;;
21-6-2002;484,98;0;0;;
22-6-2002;484,98;0;0;;
23-6-2002;484,98;0;0;;
24-6-2002;484,99;0,01;55000000;;
25-6-2002;485;0,01;55000000;;
26-6-2002;485;0;0;;
27-6-2002;484,99;-0,01;-55000000;;
28-6-2002;484,99;0;0;;
29-6-2002;484,99;0;0;;
30-6-2002;484,99;0;0;;
1-7-2002;484,99;0;0;;
2-7-2002;485;0,01;55000000;;
3-7-2002;484,99;-0,01;-55000000;;
4-7-2002;484,99;0;0;;
5-7-2002;484,99;0;0;;
6-7-2002;484,99;0;0;;
7-7-2002;485;0,01;55000000;;
8-7-2002;485;0;0;;
9-7-2002;485;0;0;;
10-7-2002;485;0;0;;
11-7-2002;485;0;0;;
12-7-2002;485;0;0;;
13-7-2002;484,99;-0,01;-55000000;;
14-7-2002;484,99;0;0;;
15-7-2002;484,99;0;0;;
16-7-2002;484,98;-0,01;-55000000;;
17-7-2002;484,98;0;0;;
18-7-2002;484,98;0;0;;
19-7-2002;484,99;0,01;55000000;;
20-7-2002;484,96;-0,03;-165000000;;
21-7-2002;484,96;0;0;;
22-7-2002;484,96;0;0;;
23-7-2002;484,96;0;0;;
24-7-2002;484,96;0;0;;
25-7-2002;484,95;-0,01;-55000000;;
26-7-2002;484,94;-0,01;-55000000;;
